Date,cels
Jan-2-2014,239.12
Jan-3-2014,240.77
Jan-6-2014,238.49
Jan-7-2014,243.2
Jan-8-2014,245.69
Jan-9-2014,244.48
Jan-10-2014,245.47
Jan-13-2014,237.18
Jan-14-2014,246.68
Jan-15-2014,250.58
Jan-16-2014,254.47
Jan-17-2014,251.29
Jan-21-2014,252.89
Jan-22-2014,256.72
Jan-23-2014,251.85
Jan-24-2014,242.6
Jan-27-2014,240.62
Jan-28-2014,246.73
Jan-29-2014,243.5
Jan-30-2014,248.28
Jan-31-2014,247.01
Feb-3-2014,236.94
Feb-4-2014,239.23
Feb-5-2014,236.38
Feb-6-2014,238.76
Feb-7-2014,245.06
Feb-10-2014,248.55
Feb-11-2014,247.87
Feb-12-2014,249.05
Feb-13-2014,253.8
Feb-14-2014,253.28
Feb-18-2014,260.21
Feb-19-2014,255.9
Feb-20-2014,261.42
Feb-21-2014,259.02
Feb-24-2014,264.17
Feb-25-2014,268.63
Feb-26-2014,272.46
Feb-27-2014,274.83
Feb-28-2014,272.12
Mar-3-2014,270.27
Mar-4-2014,280.54
Mar-5-2014,279.46
Mar-6-2014,280.5
Mar-7-2014,279.14
Mar-10-2014,276.11
Mar-11-2014,271.7
Mar-12-2014,274.93
Mar-13-2014,269.89
Mar-14-2014,269.12
Mar-17-2014,272.34
Mar-18-2014,278.53
Mar-19-2014,280.37
Mar-20-2014,281.76
Mar-21-2014,277.79
Mar-24-2014,273.02
Mar-25-2014,274.05
Mar-26-2014,263.47
Mar-27-2014,261.7
Mar-28-2014,263.88
Mar-31-2014,267.73
Apr-1-2014,274.7
Apr-2-2014,277.06
Apr-3-2014,272.45
Apr-4-2014,264.2
Apr-7-2014,256.5
Apr-8-2014,262.52
Apr-9-2014,267.04
Apr-10-2014,256.12
Apr-11-2014,250.67
Apr-14-2014,250.71
Apr-15-2014,250.99
Apr-16-2014,254.71
Apr-17-2014,255.83
Apr-21-2014,259.51
Apr-22-2014,266.55
Apr-23-2014,262.1
Apr-24-2014,262.3
Apr-25-2014,254.77
Apr-28-2014,247.68
Apr-29-2014,248.36
Apr-30-2014,249.1
May-1-2014,249.2
May-2-2014,248.81
May-5-2014,248.99
May-6-2014,243.48
May-7-2014,238.11
May-8-2014,234.27
May-9-2014,234.13
May-12-2014,239.9
May-13-2014,239.62
May-14-2014,235.63
May-15-2014,231.54
May-16-2014,231.94
May-19-2014,234.18
May-20-2014,230.82
May-21-2014,235.55
May-22-2014,238.49
May-23-2014,241.52
May-27-2014,244.37
May-28-2014,246.13
May-29-2014,249.87
May-30-2014,246.2
Jun-2-2014,244.67
Jun-3-2014,242.87
Jun-4-2014,244.81
Jun-5-2014,247.58
Jun-6-2014,247.08
Jun-9-2014,248.47
Jun-10-2014,247.44
Jun-11-2014,248.77
Jun-12-2014,248.59
Jun-13-2014,252.03
Jun-16-2014,257.77
Jun-17-2014,266.37
Jun-18-2014,267.8
Jun-19-2014,265.7
Jun-20-2014,266.99
Jun-23-2014,268.41
Jun-24-2014,263.17
Jun-25-2014,266.79
Jun-26-2014,267.78
Jun-27-2014,269.24
Jun-30-2014,271.03
Jul-1-2014,272.94
Jul-2-2014,270.76
Jul-3-2014,271.46
Jul-7-2014,265.12
Jul-8-2014,259.72
Jul-9-2014,262.04
Jul-10-2014,259.69
Jul-11-2014,260.24
Jul-14-2014,261.4
Jul-15-2014,259.55
Jul-16-2014,259.08
Jul-17-2014,254.31
Jul-18-2014,259.88
Jul-21-2014,261.77
Jul-22-2014,263.7
Jul-23-2014,258.86
Jul-24-2014,257.85
Jul-25-2014,255.12
Jul-28-2014,257.28
Jul-29-2014,256.48
Jul-30-2014,259.31
Jul-31-2014,251.36
Aug-1-2014,250.06
Aug-4-2014,251.29
Aug-5-2014,252.42
Aug-6-2014,255.41
Aug-7-2014,257.38
Aug-8-2014,257.31
Aug-11-2014,262.65
Aug-12-2014,259.66
Aug-13-2014,261.31
Aug-14-2014,263
Aug-15-2014,263.78
Aug-18-2014,267.47
Aug-19-2014,269.17
Aug-20-2014,272.91
Aug-21-2014,272.7
Aug-22-2014,274.29
Aug-25-2014,275.11
Aug-26-2014,275.53
Aug-27-2014,274.8
Aug-28-2014,273.96
Aug-29-2014,276.04
Sep-2-2014,277.8
Sep-3-2014,277.03
Sep-4-2014,278.44
Sep-5-2014,278.35
Sep-8-2014,280.15
Sep-9-2014,274.43
Sep-10-2014,274.09
Sep-11-2014,274.74
Sep-12-2014,273.63
Sep-15-2014,264.17
Sep-16-2014,266.03
Sep-17-2014,267.96
Sep-18-2014,268.52
Sep-19-2014,264.29
Sep-22-2014,257.16
Sep-23-2014,256.93
Sep-24-2014,259.8
Sep-25-2014,254.77
Sep-26-2014,256.9
Sep-29-2014,256.79
Sep-30-2014,251.71
Oct-1-2014,245.4
Oct-2-2014,246.14
Oct-3-2014,248.01
Oct-6-2014,240
Oct-7-2014,234.21
Oct-8-2014,238.63
Oct-9-2014,228.34
Oct-10-2014,217.79
Oct-13-2014,208.88
Oct-14-2014,211.44
Oct-15-2014,214.94
Oct-16-2014,219.22
Oct-17-2014,219.79
Oct-20-2014,224.22
Oct-21-2014,230.5
Oct-22-2014,224.13
Oct-23-2014,228.86
Oct-24-2014,229.23
Oct-27-2014,226.17
Oct-28-2014,234.13
Oct-29-2014,232.63
Oct-30-2014,233.9
Oct-31-2014,241.23
Nov-3-2014,241.81
Nov-4-2014,238.82
Nov-5-2014,236.75
Nov-6-2014,234.52
Nov-7-2014,232.94
Nov-10-2014,234.78
Nov-11-2014,234.08
Nov-12-2014,232.66
Nov-13-2014,228.24
Nov-14-2014,229.97
Nov-17-2014,227.77
Nov-18-2014,236.03
Nov-19-2014,232.94
Nov-20-2014,235.1
Nov-21-2014,236.79
Nov-24-2014,239.17
Nov-25-2014,238.58
Nov-26-2014,240.29
Nov-28-2014,234.17
Dec-1-2014,226.54
Dec-2-2014,229.14
Dec-3-2014,232.66
Dec-4-2014,231.22
Dec-5-2014,233.75
Dec-8-2014,225.83
Dec-9-2014,228.78
Dec-10-2014,221.78
Dec-11-2014,221.41
Dec-12-2014,217.88
Dec-15-2014,215.5
Dec-16-2014,214.19
Dec-17-2014,219.37
Dec-18-2014,224.87
Dec-19-2014,226.52
Dec-22-2014,227.73
Dec-23-2014,228.66
Dec-24-2014,229.75
Dec-26-2014,231.54
Dec-29-2014,230.88
Dec-30-2014,227.8
Dec-31-2014,227.58
Jan-2-2015,228.08
Jan-5-2015,220.36
Jan-6-2015,215.69
Jan-7-2015,218.07
Jan-8-2015,223.16
Jan-9-2015,222.65
Jan-12-2015,221.07
Jan-13-2015,222.65
Jan-14-2015,220.7
Jan-15-2015,214.02
Jan-16-2015,216.48
Jan-20-2015,214.74
Jan-21-2015,216.81
Jan-22-2015,220.06
Jan-23-2015,222.07
Jan-26-2015,226.49
Jan-27-2015,225.04
Jan-28-2015,220.72
Jan-29-2015,222.39
Jan-30-2015,219.04
Feb-2-2015,225.2
Feb-3-2015,232.22
Feb-4-2015,229.73
Feb-5-2015,232.27
Feb-6-2015,232.34
Feb-9-2015,232.15
Feb-10-2015,234.16
Feb-11-2015,234.41
Feb-12-2015,237.02
Feb-13-2015,238.07
Feb-17-2015,238.96
Feb-18-2015,238.8
Feb-19-2015,237.54
Feb-20-2015,239.77
Feb-23-2015,238.77
Feb-24-2015,244.36
Feb-25-2015,243.17
Feb-26-2015,243.6
Feb-27-2015,242.54
Mar-2-2015,246.38
Mar-3-2015,243.03
Mar-4-2015,242.82
Mar-5-2015,247.67
Mar-6-2015,243.87
Mar-9-2015,243.07
Mar-10-2015,239.71
Mar-11-2015,241
Mar-12-2015,242.51
Mar-13-2015,241.52
Mar-16-2015,243.24
Mar-17-2015,245.48
Mar-18-2015,248.56
Mar-19-2015,248.23
Mar-20-2015,250.25
Mar-23-2015,250.93
Mar-24-2015,251.62
Mar-25-2015,243.63
Mar-26-2015,241.81
Mar-27-2015,243.9
Mar-30-2015,245.99
Mar-31-2015,244.94
Apr-1-2015,245.42
Apr-2-2015,246.68
Apr-6-2015,249
Apr-7-2015,248.18
Apr-8-2015,249.37
Apr-9-2015,251.53
Apr-10-2015,253
Apr-13-2015,252.04
Apr-14-2015,251.26
Apr-15-2015,255.99
Apr-16-2015,257.27
Apr-17-2015,253.52
Apr-20-2015,255.91
Apr-21-2015,256.82
Apr-22-2015,258.26
Apr-23-2015,259.19
Apr-24-2015,254.44
Apr-27-2015,254.3
Apr-28-2015,256.51
Apr-29-2015,254.45
Apr-30-2015,249.43
May-1-2015,250.87
May-4-2015,252.35
May-5-2015,248.33
May-6-2015,246.58
May-7-2015,250.61
May-8-2015,255.03
May-11-2015,256.53
May-12-2015,255.39
May-13-2015,256.24
May-14-2015,258.73
May-15-2015,259.78
May-18-2015,260.7
May-19-2015,258.54
May-20-2015,257.77
May-21-2015,259.58
May-22-2015,260.89
May-26-2015,256.91
May-27-2015,260.04
May-28-2015,261.01
May-29-2015,258.4
Jun-1-2015,258.77
Jun-2-2015,258.28
Jun-3-2015,258.24
Jun-4-2015,254.44
Jun-5-2015,256.69
Jun-8-2015,253.76
Jun-9-2015,251.69
Jun-10-2015,254.21
Jun-11-2015,255.71
Jun-12-2015,253.62
Jun-15-2015,255.57
Jun-16-2015,256.53
Jun-17-2015,257.21
Jun-18-2015,259.72
Jun-19-2015,258.66
Jun-22-2015,258.88
Jun-23-2015,260.28
Jun-24-2015,257.49
Jun-25-2015,255.56
Jun-26-2015,251.53
Jun-29-2015,243.14
Jun-30-2015,243.36
Jul-1-2015,241.45
Jul-2-2015,241.33
Jul-6-2015,237.51
Jul-7-2015,239.13
Jul-8-2015,231.8
Jul-9-2015,232.53
Jul-10-2015,236.44
Jul-13-2015,238.49
Jul-14-2015,240.52
Jul-15-2015,236.8
Jul-16-2015,236.72
Jul-17-2015,235.89
Jul-20-2015,236.45
Jul-21-2015,232.94
Jul-22-2015,227.82
Jul-23-2015,226.44
Jul-24-2015,223.53
Jul-27-2015,221.72
Jul-28-2015,225.45
Jul-29-2015,229.06
Jul-30-2015,229.33
Jul-31-2015,225.16
Aug-3-2015,221.26
Aug-4-2015,220.3
Aug-5-2015,225.54
Aug-6-2015,215.43
Aug-7-2015,212.07
Aug-10-2015,215.56
Aug-11-2015,208.73
Aug-12-2015,212.2
Aug-13-2015,212.36
Aug-14-2015,211.96
Aug-17-2015,214.9
Aug-18-2015,212.53
Aug-19-2015,207.57
Aug-20-2015,199.07
Aug-21-2015,191.56
Aug-24-2015,187.24
Aug-25-2015,184.44
Aug-26-2015,189.64
Aug-27-2015,197.52
Aug-28-2015,200.64
Aug-31-2015,199.89
Sep-1-2015,193.79
Sep-2-2015,197.69
Sep-3-2015,200.54
Sep-4-2015,196.96
Sep-8-2015,203.61
Sep-9-2015,200.5
Sep-10-2015,198.81
Sep-11-2015,199.29
Sep-14-2015,197.38
Sep-15-2015,200.61
Sep-16-2015,203.17
Sep-17-2015,203.6
Sep-18-2015,199.58
Sep-21-2015,198.58
Sep-22-2015,193.9
Sep-23-2015,190.12
Sep-24-2015,189.79
Sep-25-2015,187.78
Sep-28-2015,179.94
Sep-29-2015,180.01
Sep-30-2015,185.34
Oct-1-2015,183.48
Oct-2-2015,191.27
Oct-5-2015,197.12
Oct-6-2015,198.13
Oct-7-2015,202.08
Oct-8-2015,203.19
Oct-9-2015,203.06
Oct-12-2015,200.96
Oct-13-2015,199.58
Oct-14-2015,202.44
Oct-15-2015,205.03
Oct-16-2015,203.2
Oct-19-2015,201.92
Oct-20-2015,199.71
Oct-21-2015,195.05
Oct-22-2015,198.48
Oct-23-2015,200.27
Oct-26-2015,199.13
Oct-27-2015,195.13
Oct-28-2015,200.06
Oct-29-2015,198.9
Oct-30-2015,197.32
Nov-2-2015,200.6
Nov-3-2015,202.77
Nov-4-2015,204.63
Nov-5-2015,202.12
Nov-6-2015,203.98
Nov-9-2015,200.47
Nov-10-2015,194.08
Nov-11-2015,191.75
Nov-12-2015,186.81
Nov-13-2015,185.3
Nov-16-2015,188.58
Nov-17-2015,183.27
Nov-18-2015,188.11
Nov-19-2015,187.82
Nov-20-2015,189.34
Nov-23-2015,188.79
Nov-24-2015,191.73
Nov-25-2015,192.2
Nov-27-2015,193.09
Nov-30-2015,194.87
Dec-1-2015,199.53
Dec-2-2015,200.4
Dec-3-2015,200.06
Dec-4-2015,200.69
Dec-7-2015,198.02
Dec-8-2015,196.07
Dec-9-2015,196.03
Dec-10-2015,195.91
Dec-11-2015,192.78
Dec-14-2015,195.68
Dec-15-2015,198.66
Dec-16-2015,210.52
Dec-17-2015,208.82
Dec-18-2015,209.31
Dec-21-2015,212.52
Dec-22-2015,210.09
Dec-23-2015,212.06
Dec-24-2015,213.64
Dec-28-2015,211.94
Dec-29-2015,212.18
Dec-30-2015,212.38
Dec-31-2015,210.95
Jan-4-2016,209.17
Jan-5-2016,209.52
Jan-6-2016,204.75
Jan-7-2016,194.01
Jan-8-2016,192.97
Jan-11-2016,191.71
Jan-12-2016,190.16
Jan-13-2016,183.65
Jan-14-2016,184.79
Jan-15-2016,179.21
Jan-19-2016,176.15
Jan-20-2016,178.11
Jan-21-2016,179.95
Jan-22-2016,185.79
Jan-25-2016,181.09
Jan-26-2016,185.26
Jan-27-2016,182.55
Jan-28-2016,183.82
Jan-29-2016,189.8
Feb-1-2016,189.42
Feb-2-2016,182.65
Feb-3-2016,183.44
Feb-4-2016,185.69
Feb-5-2016,180.79
Feb-8-2016,175.43
Feb-9-2016,174.05
Feb-10-2016,169.39
Feb-11-2016,165.73
Feb-12-2016,168.01
Feb-16-2016,174.65
Feb-17-2016,179.76
Feb-18-2016,178.57
Feb-19-2016,177.16
Feb-22-2016,180.97
Feb-23-2016,177.28
Feb-24-2016,181.7
Feb-25-2016,185.33
Feb-26-2016,185.21
Feb-29-2016,187.04
Mar-1-2016,186.81
Mar-2-2016,189.71
Mar-3-2016,190.65
Mar-4-2016,191.32
Mar-7-2016,192.9
Mar-8-2016,189.43
Mar-9-2016,192.52
Mar-10-2016,191.89
Mar-11-2016,195.37
Mar-14-2016,195.24
Mar-15-2016,194.53
Mar-16-2016,196.08
Mar-17-2016,198.79
Mar-18-2016,199.33
Mar-21-2016,199.14
Mar-22-2016,197.34
Mar-23-2016,190.87
Mar-24-2016,192.01
Mar-28-2016,191.57
Mar-29-2016,194.57
Mar-30-2016,194.59
Mar-31-2016,194.78
Apr-1-2016,195.67
Apr-4-2016,193.73
Apr-5-2016,193.59
Apr-6-2016,197.35
Apr-7-2016,193.66
Apr-8-2016,194.09
Apr-11-2016,193.89
Apr-12-2016,194.78
Apr-13-2016,199.23
Apr-14-2016,198.86
Apr-15-2016,198.11
Apr-18-2016,200.13
Apr-19-2016,199.1
Apr-20-2016,201.72
Apr-21-2016,202.45
Apr-22-2016,203.92
Apr-25-2016,200.57
Apr-26-2016,204.44
Apr-27-2016,205.82
Apr-28-2016,200.52
Apr-29-2016,196.23
May-2-2016,196.42
May-3-2016,191.14
May-4-2016,187.54
May-5-2016,185.05
May-6-2016,185.68
May-9-2016,184.12
May-10-2016,183.32
May-11-2016,183.28
May-12-2016,180.36
May-13-2016,180.28
May-16-2016,182.36
May-17-2016,180.27
May-18-2016,181.67
May-19-2016,181.22
May-20-2016,185.66
May-23-2016,187.4
May-24-2016,191.11
May-25-2016,192.04
May-26-2016,192.01
May-27-2016,192.21
May-31-2016,193.08
Jun-1-2016,192.87
Jun-2-2016,193.01
Jun-3-2016,191.7
Jun-6-2016,194.52
Jun-7-2016,196.49
Jun-8-2016,197.16
Jun-9-2016,195.35
Jun-10-2016,189.51
Jun-13-2016,188
Jun-14-2016,187.56
Jun-15-2016,188.02
Jun-16-2016,187.5
Jun-17-2016,186.56
Jun-20-2016,189.75
Jun-21-2016,189.31
Jun-22-2016,187.06
Jun-23-2016,189.94
Jun-24-2016,181.38
Jun-27-2016,175
Jun-28-2016,180.78
Jun-29-2016,185.1
Jun-30-2016,188.91
Jul-1-2016,189.5
Jul-5-2016,186.14
Jul-6-2016,187.68
Jul-7-2016,187.09
Jul-8-2016,191.57
Jul-11-2016,194.2
Jul-12-2016,195.44
Jul-13-2016,193.82
Jul-14-2016,195.57
Jul-15-2016,195.49
Jul-18-2016,197.52
Jul-19-2016,196.64
Jul-20-2016,199.16
Jul-21-2016,197.79
Jul-22-2016,198.2
Jul-25-2016,199.08
Jul-26-2016,205.3
Jul-27-2016,204.2
Jul-28-2016,203.1
Jul-29-2016,203.23
Aug-1-2016,203.16
Aug-2-2016,200.54
Aug-3-2016,202.31
Aug-4-2016,200.41
Aug-5-2016,202.66
Aug-8-2016,202.86
Aug-9-2016,202.44
Aug-10-2016,197.99
Aug-11-2016,198.85
Aug-12-2016,199.14
Aug-15-2016,200.56
Aug-16-2016,198.2
Aug-17-2016,196.33
Aug-18-2016,198.31
Aug-19-2016,198.8
Aug-22-2016,198.02
Aug-23-2016,199.22
Aug-24-2016,197.29
Aug-25-2016,197.36
Aug-26-2016,197.46
Aug-29-2016,197.37
Aug-30-2016,197.35
Aug-31-2016,196.03
Sep-1-2016,196.08
Sep-2-2016,197.23
Sep-6-2016,198.08
Sep-7-2016,198.03
Sep-8-2016,197.89
Sep-9-2016,191.65
Sep-12-2016,194.02
Sep-13-2016,190.22
Sep-14-2016,188.51
Sep-15-2016,191.05
Sep-16-2016,191.03
Sep-19-2016,193.13
Sep-20-2016,191.9
Sep-21-2016,194.42
Sep-22-2016,197.74
Sep-23-2016,196.44
Sep-26-2016,194.52
Sep-27-2016,196.83
Sep-28-2016,198.29
Sep-29-2016,196.43
Sep-30-2016,198.85
Oct-3-2016,198.47
Oct-4-2016,196.2
Oct-5-2016,198.32
Oct-6-2016,198.34
Oct-7-2016,194.88
Oct-10-2016,196.22
Oct-11-2016,192.53
Oct-12-2016,191.88
Oct-13-2016,190.93
Oct-14-2016,191.06
Oct-17-2016,190.09
Oct-18-2016,192.33
Oct-19-2016,193.27
Oct-20-2016,193.5
Oct-21-2016,193.49
Oct-24-2016,194.7
Oct-25-2016,193.05
Oct-26-2016,192.85
Oct-27-2016,191.71
Oct-28-2016,190.45
Oct-31-2016,191.01
Nov-1-2016,188.82
Nov-2-2016,186.63
Nov-3-2016,187.69
Nov-4-2016,187.93
Nov-7-2016,191.01
Nov-8-2016,191.53
Nov-9-2016,189.97
Nov-10-2016,189.55
Nov-11-2016,193.93
Nov-14-2016,195.7
Nov-15-2016,197.36
Nov-16-2016,197.24
Nov-17-2016,197.15
Nov-18-2016,196.52
Nov-21-2016,197.47
Nov-22-2016,200.56
Nov-23-2016,203.03
Nov-25-2016,204.49
Nov-28-2016,203.13
Nov-29-2016,200.54
Nov-30-2016,199.55
Dec-1-2016,194.72
Dec-2-2016,195.13
Dec-5-2016,199.06
Dec-6-2016,199.87
Dec-7-2016,204.32
Dec-8-2016,204.96
Dec-9-2016,205.63
Dec-12-2016,203.54
Dec-13-2016,205.13
Dec-14-2016,202.86
Dec-15-2016,205.17
Dec-16-2016,205.27
Dec-19-2016,207.43
Dec-20-2016,207.63
Dec-21-2016,205.78
Dec-22-2016,205.2
Dec-23-2016,206.53
Dec-27-2016,209.56
Dec-28-2016,205.59
Dec-29-2016,205.24
Dec-30-2016,203.32
Jan-3-2017,205.49
Jan-4-2017,209.55
Jan-5-2017,207.74
Jan-6-2017,208.09
Jan-9-2017,205.92
Jan-10-2017,208.07
Jan-11-2017,208.73
Jan-12-2017,207.22
Jan-13-2017,209.51
Jan-17-2017,207.41
Jan-18-2017,207.91
Jan-19-2017,207.05
Jan-20-2017,208.94
Jan-23-2017,208.21
Jan-24-2017,210.08
Jan-25-2017,212.56
Jan-26-2017,211.49
Jan-27-2017,210.06
Jan-30-2017,207.71
Jan-31-2017,208.34
Feb-1-2017,209.35
Feb-2-2017,208.25
Feb-3-2017,210.77
Feb-6-2017,210.4
Feb-7-2017,210
Feb-8-2017,210.74
Feb-9-2017,211.46
Feb-10-2017,213.27
Feb-13-2017,216.28
