Date,icln
2-Jan-14,10.58
3-Jan-14,10.66
6-Jan-14,10.58
7-Jan-14,10.74
8-Jan-14,10.72
9-Jan-14,10.74
10-Jan-14,10.74
13-Jan-14,10.6
14-Jan-14,10.7
15-Jan-14,10.81
16-Jan-14,10.88
17-Jan-14,10.9
21-Jan-14,10.88
22-Jan-14,10.91
23-Jan-14,10.71
24-Jan-14,10.27
27-Jan-14,10.19
28-Jan-14,10.43
29-Jan-14,10.31
30-Jan-14,10.45
31-Jan-14,10.35
3-Feb-14,10.08
4-Feb-14,10.1
5-Feb-14,10.08
6-Feb-14,10.26
7-Feb-14,10.52
10-Feb-14,10.61
11-Feb-14,10.64
12-Feb-14,10.68
13-Feb-14,10.7
14-Feb-14,10.75
18-Feb-14,10.83
19-Feb-14,10.74
20-Feb-14,10.74
21-Feb-14,10.81
24-Feb-14,11.07
25-Feb-14,10.99
26-Feb-14,11.01
27-Feb-14,11.24
28-Feb-14,11.17
3-Mar-14,11.14
4-Mar-14,11.56
5-Mar-14,11.48
6-Mar-14,11.66
7-Mar-14,11.61
10-Mar-14,11.49
11-Mar-14,11.47
12-Mar-14,11.4
13-Mar-14,11.18
14-Mar-14,11.04
17-Mar-14,11.18
18-Mar-14,11.24
19-Mar-14,11.33
20-Mar-14,11.28
21-Mar-14,11.13
24-Mar-14,11.11
25-Mar-14,11
26-Mar-14,10.93
27-Mar-14,11.09
28-Mar-14,11.17
31-Mar-14,11.2
1-Apr-14,11.23
2-Apr-14,11.34
3-Apr-14,11.15
4-Apr-14,11.09
7-Apr-14,10.96
8-Apr-14,10.91
9-Apr-14,11.14
10-Apr-14,10.79
11-Apr-14,10.7
14-Apr-14,10.6
15-Apr-14,10.55
16-Apr-14,10.78
17-Apr-14,10.84
21-Apr-14,10.81
22-Apr-14,11.11
23-Apr-14,11.05
24-Apr-14,11
25-Apr-14,10.8
28-Apr-14,10.65
29-Apr-14,10.65
30-Apr-14,10.7
1-May-14,10.72
2-May-14,10.82
5-May-14,10.81
6-May-14,10.72
7-May-14,10.6
8-May-14,10.41
9-May-14,10.47
12-May-14,10.8
13-May-14,10.79
14-May-14,10.82
15-May-14,10.57
16-May-14,10.47
19-May-14,10.55
20-May-14,10.47
21-May-14,10.74
22-May-14,10.87
23-May-14,11
27-May-14,11.09
28-May-14,11.07
29-May-14,11.21
30-May-14,11.14
2-Jun-14,11.19
3-Jun-14,11.16
4-Jun-14,11.08
5-Jun-14,11.23
6-Jun-14,11.3
9-Jun-14,11.35
10-Jun-14,11.3
11-Jun-14,11.31
12-Jun-14,11.33
13-Jun-14,11.51
16-Jun-14,11.54
17-Jun-14,11.74
18-Jun-14,11.92
19-Jun-14,11.84
20-Jun-14,11.89
23-Jun-14,11.82
24-Jun-14,11.56
25-Jun-14,11.69
26-Jun-14,11.77
27-Jun-14,11.85
30-Jun-14,11.86
1-Jul-14,11.83
2-Jul-14,11.82
3-Jul-14,11.98
7-Jul-14,11.79
8-Jul-14,11.41
9-Jul-14,11.48
10-Jul-14,11.32
11-Jul-14,11.35
14-Jul-14,11.38
15-Jul-14,11.35
16-Jul-14,11.38
17-Jul-14,11.21
18-Jul-14,11.42
21-Jul-14,11.43
22-Jul-14,11.58
23-Jul-14,11.51
24-Jul-14,11.56
25-Jul-14,11.53
28-Jul-14,11.59
29-Jul-14,11.49
30-Jul-14,11.52
31-Jul-14,11.19
1-Aug-14,11.09
4-Aug-14,11.24
5-Aug-14,11.17
6-Aug-14,11.27
7-Aug-14,11.24
8-Aug-14,11.33
11-Aug-14,11.51
12-Aug-14,11.47
13-Aug-14,11.62
14-Aug-14,11.63
15-Aug-14,11.68
18-Aug-14,11.81
19-Aug-14,11.87
20-Aug-14,11.88
21-Aug-14,11.82
22-Aug-14,11.78
25-Aug-14,11.91
26-Aug-14,11.87
27-Aug-14,11.89
28-Aug-14,11.78
29-Aug-14,11.78
2-Sep-14,11.78
3-Sep-14,11.88
4-Sep-14,11.92
5-Sep-14,11.98
8-Sep-14,11.97
9-Sep-14,11.61
10-Sep-14,11.7
11-Sep-14,11.69
12-Sep-14,11.65
15-Sep-14,11.4
16-Sep-14,11.39
17-Sep-14,11.42
18-Sep-14,11.41
19-Sep-14,11.29
22-Sep-14,11.18
23-Sep-14,11.11
24-Sep-14,11.25
25-Sep-14,11.03
26-Sep-14,11.14
29-Sep-14,10.94
30-Sep-14,10.87
1-Oct-14,10.59
2-Oct-14,10.51
3-Oct-14,10.64
6-Oct-14,10.34
7-Oct-14,10.26
8-Oct-14,10.37
9-Oct-14,10.04
10-Oct-14,9.84
13-Oct-14,9.74
14-Oct-14,9.72
15-Oct-14,9.77
16-Oct-14,9.74
17-Oct-14,9.95
20-Oct-14,10.01
21-Oct-14,10.2
22-Oct-14,10.09
23-Oct-14,10.14
24-Oct-14,10.18
27-Oct-14,9.93
28-Oct-14,10.24
29-Oct-14,10.17
30-Oct-14,10.28
31-Oct-14,10.45
3-Nov-14,10.43
4-Nov-14,10.31
5-Nov-14,10.21
6-Nov-14,10.11
7-Nov-14,10.21
10-Nov-14,10.16
11-Nov-14,10.15
12-Nov-14,10.06
13-Nov-14,10.04
14-Nov-14,10.08
17-Nov-14,10.06
18-Nov-14,10.13
19-Nov-14,10.15
20-Nov-14,10.21
21-Nov-14,10.35
24-Nov-14,10.4
25-Nov-14,10.43
26-Nov-14,10.54
28-Nov-14,10.23
1-Dec-14,9.92
2-Dec-14,10.01
3-Dec-14,10.06
4-Dec-14,10.04
5-Dec-14,10.07
8-Dec-14,9.9
9-Dec-14,9.87
10-Dec-14,9.88
11-Dec-14,9.88
12-Dec-14,9.72
15-Dec-14,9.63
16-Dec-14,9.62
17-Dec-14,9.58
18-Dec-14,9.82
19-Dec-14,9.59
22-Dec-14,9.64
23-Dec-14,9.68
24-Dec-14,9.7
26-Dec-14,9.75
29-Dec-14,9.72
30-Dec-14,9.68
31-Dec-14,9.68
2-Jan-15,9.75
5-Jan-15,9.54
6-Jan-15,9.52
7-Jan-15,9.61
8-Jan-15,9.84
9-Jan-15,9.81
12-Jan-15,9.64
13-Jan-15,9.67
14-Jan-15,9.69
15-Jan-15,9.56
16-Jan-15,9.64
20-Jan-15,9.59
21-Jan-15,9.71
22-Jan-15,9.75
23-Jan-15,9.79
26-Jan-15,10.12
27-Jan-15,10.17
28-Jan-15,9.97
29-Jan-15,10.04
30-Jan-15,9.98
2-Feb-15,10.2
3-Feb-15,10.49
4-Feb-15,10.44
5-Feb-15,10.53
6-Feb-15,10.4
9-Feb-15,10.42
10-Feb-15,10.49
11-Feb-15,10.45
12-Feb-15,10.64
13-Feb-15,10.69
17-Feb-15,10.68
18-Feb-15,10.64
19-Feb-15,10.54
20-Feb-15,10.61
23-Feb-15,10.62
24-Feb-15,10.66
25-Feb-15,10.88
26-Feb-15,10.88
27-Feb-15,10.93
2-Mar-15,11.1
3-Mar-15,11.23
4-Mar-15,11.54
5-Mar-15,12.08
6-Mar-15,11.7
9-Mar-15,11.57
10-Mar-15,11.29
11-Mar-15,11.42
12-Mar-15,11.51
13-Mar-15,11.33
16-Mar-15,11.47
17-Mar-15,11.54
18-Mar-15,11.66
19-Mar-15,11.6
20-Mar-15,11.8
23-Mar-15,11.82
24-Mar-15,11.93
25-Mar-15,11.74
26-Mar-15,11.6
27-Mar-15,11.63
30-Mar-15,11.89
31-Mar-15,11.86
1-Apr-15,12.03
2-Apr-15,12.11
6-Apr-15,12.19
7-Apr-15,12.23
8-Apr-15,12.38
9-Apr-15,12.66
10-Apr-15,12.6
13-Apr-15,12.65
14-Apr-15,12.6
15-Apr-15,12.75
16-Apr-15,12.82
17-Apr-15,12.61
20-Apr-15,12.47
21-Apr-15,12.55
22-Apr-15,12.73
23-Apr-15,12.87
24-Apr-15,12.79
27-Apr-15,12.77
28-Apr-15,13.02
29-Apr-15,12.62
30-Apr-15,12.49
1-May-15,12.6
4-May-15,12.66
5-May-15,12.55
6-May-15,12.45
7-May-15,12.56
8-May-15,12.79
11-May-15,12.64
12-May-15,12.61
13-May-15,12.76
14-May-15,12.81
15-May-15,12.87
18-May-15,12.86
19-May-15,12.7
20-May-15,12.37
21-May-15,12.28
22-May-15,12.36
26-May-15,12.27
27-May-15,12.34
28-May-15,12.03
29-May-15,12.15
1-Jun-15,11.95
2-Jun-15,11.98
3-Jun-15,12.01
4-Jun-15,11.84
5-Jun-15,11.77
8-Jun-15,11.69
9-Jun-15,11.54
10-Jun-15,11.72
11-Jun-15,11.73
12-Jun-15,11.69
15-Jun-15,11.55
16-Jun-15,11.61
17-Jun-15,11.66
18-Jun-15,11.78
19-Jun-15,11.63
22-Jun-15,11.77
23-Jun-15,11.86
24-Jun-15,11.58
25-Jun-15,11.46
26-Jun-15,11.34
29-Jun-15,10.99
30-Jun-15,11.12
1-Jul-15,11.1
2-Jul-15,11.09
6-Jul-15,10.64
7-Jul-15,10.51
8-Jul-15,10.07
9-Jul-15,10.59
10-Jul-15,10.92
13-Jul-15,11.05
14-Jul-15,11.07
15-Jul-15,10.76
16-Jul-15,10.99
17-Jul-15,10.85
20-Jul-15,10.87
21-Jul-15,10.9
22-Jul-15,10.73
23-Jul-15,10.68
24-Jul-15,10.6
27-Jul-15,10.41
28-Jul-15,10.54
29-Jul-15,10.77
30-Jul-15,10.53
31-Jul-15,10.5
3-Aug-15,10.48
4-Aug-15,10.39
5-Aug-15,10.64
6-Aug-15,10.47
7-Aug-15,10.36
10-Aug-15,10.5
11-Aug-15,10.3
12-Aug-15,10.3
13-Aug-15,10.28
14-Aug-15,10.28
17-Aug-15,10.3
18-Aug-15,10.24
19-Aug-15,10.13
20-Aug-15,9.69
21-Aug-15,9.42
24-Aug-15,9
25-Aug-15,9.03
26-Aug-15,9.28
27-Aug-15,9.66
28-Aug-15,9.69
31-Aug-15,9.44
1-Sep-15,9.14
2-Sep-15,9.29
3-Sep-15,9.26
4-Sep-15,9.07
8-Sep-15,9.42
9-Sep-15,9.38
10-Sep-15,9.48
11-Sep-15,9.46
14-Sep-15,9.38
15-Sep-15,9.45
16-Sep-15,9.61
17-Sep-15,9.64
18-Sep-15,9.39
21-Sep-15,9.41
22-Sep-15,9.2
23-Sep-15,9.06
24-Sep-15,9.02
25-Sep-15,9.03
28-Sep-15,8.8
29-Sep-15,8.86
30-Sep-15,9.06
1-Oct-15,9.17
2-Oct-15,9.49
5-Oct-15,9.7
6-Oct-15,9.79
7-Oct-15,9.98
8-Oct-15,10.08
9-Oct-15,10.14
12-Oct-15,10
13-Oct-15,9.91
14-Oct-15,10.06
15-Oct-15,10.27
16-Oct-15,10.19
19-Oct-15,10.02
20-Oct-15,10.13
21-Oct-15,10.02
22-Oct-15,10.11
23-Oct-15,10.11
26-Oct-15,10.03
27-Oct-15,9.81
28-Oct-15,9.88
29-Oct-15,9.9
30-Oct-15,9.8
2-Nov-15,9.95
3-Nov-15,9.99
4-Nov-15,9.92
5-Nov-15,9.9
6-Nov-15,9.94
9-Nov-15,9.77
10-Nov-15,9.56
11-Nov-15,9.52
12-Nov-15,9.38
13-Nov-15,9.28
16-Nov-15,9.44
17-Nov-15,9.3
18-Nov-15,9.38
19-Nov-15,9.41
20-Nov-15,9.41
23-Nov-15,9.42
24-Nov-15,9.46
25-Nov-15,9.45
27-Nov-15,9.44
30-Nov-15,9.42
1-Dec-15,9.57
2-Dec-15,9.62
3-Dec-15,9.67
4-Dec-15,9.75
7-Dec-15,9.58
8-Dec-15,9.48
9-Dec-15,9.48
10-Dec-15,9.33
11-Dec-15,9.12
14-Dec-15,9.38
15-Dec-15,9.6
16-Dec-15,10.03
17-Dec-15,9.93
18-Dec-15,9.89
21-Dec-15,9.88
22-Dec-15,9.75
23-Dec-15,9.94
24-Dec-15,9.96
28-Dec-15,9.91
29-Dec-15,9.88
30-Dec-15,9.87
31-Dec-15,9.84
4-Jan-16,9.75
5-Jan-16,9.71
6-Jan-16,9.56
7-Jan-16,9.21
8-Jan-16,9.12
11-Jan-16,9.01
12-Jan-16,8.94
13-Jan-16,8.62
14-Jan-16,8.6
15-Jan-16,8.29
19-Jan-16,8.29
20-Jan-16,8.08
21-Jan-16,8
22-Jan-16,8.37
25-Jan-16,8.22
26-Jan-16,8.42
27-Jan-16,8.38
28-Jan-16,8.38
29-Jan-16,8.7
1-Feb-16,8.75
2-Feb-16,8.45
3-Feb-16,8.55
4-Feb-16,8.53
5-Feb-16,8.37
8-Feb-16,8.08
9-Feb-16,8.04
10-Feb-16,7.93
11-Feb-16,7.77
12-Feb-16,7.76
16-Feb-16,8.05
17-Feb-16,8.29
18-Feb-16,8.29
19-Feb-16,8.21
22-Feb-16,8.32
23-Feb-16,8.23
24-Feb-16,8.37
25-Feb-16,8.39
26-Feb-16,8.4
29-Feb-16,8.41
1-Mar-16,8.63
2-Mar-16,8.72
3-Mar-16,8.86
4-Mar-16,8.95
7-Mar-16,9.03
8-Mar-16,8.79
9-Mar-16,8.93
10-Mar-16,8.92
11-Mar-16,9.1
14-Mar-16,9.16
15-Mar-16,9.01
16-Mar-16,9.17
17-Mar-16,9.32
18-Mar-16,9.36
21-Mar-16,9.32
22-Mar-16,9.27
23-Mar-16,9.06
24-Mar-16,8.99
28-Mar-16,9.09
29-Mar-16,9.23
30-Mar-16,9.35
31-Mar-16,9.34
1-Apr-16,9.28
4-Apr-16,9.13
5-Apr-16,9
6-Apr-16,9.05
7-Apr-16,8.9
8-Apr-16,9.01
11-Apr-16,9.05
12-Apr-16,9.24
13-Apr-16,9.38
14-Apr-16,9.28
15-Apr-16,9.23
18-Apr-16,9.26
19-Apr-16,9.34
20-Apr-16,9.36
21-Apr-16,9.33
22-Apr-16,9.31
25-Apr-16,9.17
26-Apr-16,9.23
27-Apr-16,9.39
28-Apr-16,9.21
29-Apr-16,9.2
2-May-16,9.07
3-May-16,8.85
4-May-16,8.82
5-May-16,8.7
6-May-16,8.8
9-May-16,8.63
10-May-16,8.74
11-May-16,8.86
12-May-16,8.73
13-May-16,8.56
16-May-16,8.68
17-May-16,8.64
18-May-16,8.5
19-May-16,8.4
20-May-16,8.55
23-May-16,8.56
24-May-16,8.67
25-May-16,8.7
26-May-16,8.69
27-May-16,8.66
31-May-16,8.72
1-Jun-16,8.89
2-Jun-16,8.93
3-Jun-16,8.91
6-Jun-16,9.07
7-Jun-16,9.12
8-Jun-16,9.12
9-Jun-16,9.02
10-Jun-16,8.64
13-Jun-16,8.39
14-Jun-16,8.3
15-Jun-16,8.34
16-Jun-16,8.43
17-Jun-16,8.48
20-Jun-16,8.74
21-Jun-16,8.54
22-Jun-16,8.54
23-Jun-16,8.74
24-Jun-16,8.29
27-Jun-16,8.16
28-Jun-16,8.53
29-Jun-16,8.67
30-Jun-16,8.78
1-Jul-16,8.78
5-Jul-16,8.71
6-Jul-16,8.77
7-Jul-16,8.71
8-Jul-16,8.92
11-Jul-16,9.03
12-Jul-16,9.09
13-Jul-16,8.97
14-Jul-16,9.05
15-Jul-16,9
18-Jul-16,9.02
19-Jul-16,8.98
20-Jul-16,9.1
21-Jul-16,9.06
22-Jul-16,9.13
25-Jul-16,9.11
26-Jul-16,9.23
27-Jul-16,9.21
28-Jul-16,9.1
29-Jul-16,9.1
1-Aug-16,9.13
2-Aug-16,9.1
3-Aug-16,9.15
4-Aug-16,9.23
5-Aug-16,9.2
8-Aug-16,9.29
9-Aug-16,9.29
10-Aug-16,9.11
11-Aug-16,9.16
12-Aug-16,9.11
15-Aug-16,9.26
16-Aug-16,9.22
17-Aug-16,9.21
18-Aug-16,9.39
19-Aug-16,9.37
22-Aug-16,9.3
23-Aug-16,9.3
24-Aug-16,9.28
25-Aug-16,9.27
26-Aug-16,9.23
29-Aug-16,9.26
30-Aug-16,9.28
31-Aug-16,9.19
1-Sep-16,9.22
2-Sep-16,9.34
6-Sep-16,9.58
7-Sep-16,9.55
8-Sep-16,9.64
9-Sep-16,9.37
12-Sep-16,9.42
13-Sep-16,9.11
14-Sep-16,9.01
15-Sep-16,9.12
16-Sep-16,9.03
19-Sep-16,9.15
20-Sep-16,9.17
21-Sep-16,9.29
22-Sep-16,9.42
23-Sep-16,9.31
26-Sep-16,9.22
27-Sep-16,9.29
28-Sep-16,9.35
29-Sep-16,9.29
30-Sep-16,9.16
3-Oct-16,9.17
4-Oct-16,9.06
5-Oct-16,9.26
6-Oct-16,9.19
7-Oct-16,9.06
10-Oct-16,9.16
11-Oct-16,8.95
12-Oct-16,8.95
13-Oct-16,9
14-Oct-16,9.06
17-Oct-16,9.06
18-Oct-16,9.13
19-Oct-16,9.2
20-Oct-16,9.14
21-Oct-16,9.02
24-Oct-16,9.05
25-Oct-16,8.97
26-Oct-16,8.97
27-Oct-16,8.89
28-Oct-16,8.81
31-Oct-16,8.86
1-Nov-16,8.66
2-Nov-16,8.55
3-Nov-16,8.38
4-Nov-16,8.36
7-Nov-16,8.62
8-Nov-16,8.65
9-Nov-16,8.22
10-Nov-16,8
11-Nov-16,7.95
14-Nov-16,7.86
15-Nov-16,7.98
16-Nov-16,7.87
17-Nov-16,7.92
18-Nov-16,7.89
21-Nov-16,7.88
22-Nov-16,7.95
23-Nov-16,7.99
25-Nov-16,8.02
28-Nov-16,8.14
29-Nov-16,8.02
30-Nov-16,8.04
1-Dec-16,7.97
2-Dec-16,7.94
5-Dec-16,8.02
6-Dec-16,8.02
7-Dec-16,8.17
8-Dec-16,8.12
9-Dec-16,8.08
12-Dec-16,8.01
13-Dec-16,8.13
14-Dec-16,7.91
15-Dec-16,7.88
16-Dec-16,7.87
19-Dec-16,8
20-Dec-16,7.94
21-Dec-16,7.92
22-Dec-16,7.86
23-Dec-16,7.77
27-Dec-16,7.85
28-Dec-16,7.83
29-Dec-16,7.91
30-Dec-16,7.88
3-Jan-17,7.97
4-Jan-17,8.11
5-Jan-17,8.16
6-Jan-17,8.12
9-Jan-17,8.16
10-Jan-17,8.16
11-Jan-17,8.25
12-Jan-17,8.28
13-Jan-17,8.26
17-Jan-17,8.35
18-Jan-17,8.3
19-Jan-17,8.26
20-Jan-17,8.29
23-Jan-17,8.29
24-Jan-17,8.33
25-Jan-17,8.39
26-Jan-17,8.32
27-Jan-17,8.32
30-Jan-17,8.23
31-Jan-17,8.25
1-Feb-17,8.36
2-Feb-17,8.35
3-Feb-17,8.43
6-Feb-17,8.33
7-Feb-17,8.3
8-Feb-17,8.36
9-Feb-17,8.4
10-Feb-17,8.51
13-Feb-17,8.59
